aamiin;amin 
tnyta,ternyata,
togel,totogelap,
tokai,tai,
tokoh2,tokoh-tokoh,
toserba,tokoserbaada,
toys,main,
tp,tapi,
tpi,tapi,
tpi,tetapi,
tq,terimakasih,
trdhulu,terdahulu,
tren,trend,
trending,trend,
trfkir,terfikir,
trgntg,tergantung,
trh,terhadap,
trhdp,terhadap,
trima,terimakasih,
trims,terimakasih,
trimz,terimakasih,
trkhr,terakhir,
trlalu,terlalu,
trllu,terlalu,
trm,terima,
trmsk,termasuk,
trnyt,ternyata,
trs,terus,
trus,terus,
trutama,terutama,
trz,terus,
ts,penulis,
tsangka,tersangka,
tsb,tersebut,
tsb,tersebut,
tsk,tersangka,
tst,tahusamatahu,
ttd,tertanda,
ttg,tentang,
ttng,tentang,
ttp,tetap,
tu,itu,
tuch,tuh,
tuh,itu,
tuir,tua,
tuwh,tuh,
tv,televisi,
tw,tahu,
twit2,tweet-tweet,
twt,tweet,
tyap,tiap,
u,anda,
u,kamu,
u,untuk,
u/,untuk,
uasai,kuasa,
ud,sudah,
uda,sudah,
udah,sudah,
udh,sudah,
ugm,universitasgajahmada,
ui,universitasindonesia,
ujg,ujung,
ujung2nya,ujung-ujungnya,
ul,ulangan,
ultah,ulangtahun,
unair,universitasairlangga,
undang2,undangundang,
undip,universitasdiponegoro,
univ,universitas,
unyu,lucu,
unyu,menggemaskan,
uplot,unggah,
uppu,apa,
urang,saya,
urg,saya,
usah,perlu,
ust,ustadz,
ut,untuk,
utang,hutang,
utip,kutip,
utk,untuk,
utk,untuk,
utul,ujiantertulis,
uu,undang-undang,
valas,valutaasing,
valid,sah,
victory,menang,
vol,volume,
vote,pilih,
w/,dengan,
wad,buat,
wadir,wakildirektur,
wagub,wakilgubernur,
wamil,wajibmiliter,
war,perang,
warbiyasak,luarbiasa,
waria,wanitapria,
warkop,warungkopi,
warnet,warunginternet,
warteg,warungtegal,
wartel,warungtelekomunikasi,
waspadalah,waspada,
wat,buat,
watuk,batuk,
who,worldhealthorganization,
wk,tertawa,
wkt,waktu,
wkt,waktu,
wkwk,tertawa,
wkwkkw,tertawa,
wtf,whatthefuck,
wth,whatthehell,
x,tidak,
xan,takakan,
xew,apa,
xixixi,tertawa,
y,kenapa,
y,ya,
ya,iya,
yad,yangakandatang,
yap,iya,
yapz,iya,
yaudah,yasudah,
yauwda,yasudah,
yawdah,yasudah,
ybs,yangbersangkutan,
yg,yang,
yg,yang,
yi,yaitu,
yl,yanglain,
yng,yang,
yo,iya,
yoha,iya,
yowes,yasudah,
yuk,ayo,
yup,iya,
ywdh,yasudah,
zonk,bodoh,
gimna,gimana,
